EmployeeNumber	predclass_modelLogReg_kfold	predprob_modelLogReg_kfold	predclass_modelNN_kfold	predprob_modelNN_kfold	predclass_modelDL_kfold	predprob_modelDL_kfold
62	1	0.5212682047463778	1	0.5944684820040866	1	0.6821824908256531
63	0	0.04818414891574928	0	0.023273345726167436	0	0.01375355664640665
64	1	0.7242091298860907	1	0.8874066679284046	1	0.8541702628135681
65	1	0.8548743384103992	1	0.9125922541266318	1	0.9406368732452393
68	0	0.12201267365747775	0	0.052055681160100176	0	0.08231016993522644
70	0	0.08313162351733938	0	0.09376882938625998	0	0.0639083981513977
72	1	0.37983436529536063	1	0.3532663556153358	1	0.6057193875312805
73	0	0.11112110740187281	0	0.09773519322542876	0	0.1670631766319275
74	0	0.13811671980320558	0	0.09413416278093632	0	0.0964079424738884
75	1	0.3080527438012412	1	0.2550551627107521	1	0.30476412177085876
76	0	0.007756467721339084	0	0.013672934438956234	0	0.011848223395645618
77	0	0.0032061485706507474	0	0.01650328878758357	0	0.0039025743026286364
78	0	0.019090776060934934	0	0.042615110123566065	0	0.025963855907320976
79	0	0.05058544371900225	0	0.05305050506765511	0	0.042789388447999954
80	0	0.0784273598275949	0	0.041555828100613736	0	0.05332643911242485
81	1	0.37432655099966455	1	0.26574933917334254	0	0.22463472187519073
83	0	0.03150589416831859	0	0.051830861523700616	0	0.021444564685225487
84	0	0.03474339076513549	0	0.02332406718135946	0	0.022454552352428436
85	0	0.02746774302210098	0	0.04723725101521648	0	0.0209682397544384
86	0	0.014208010053483471	0	0.01917005960651981	0	0.01090315543115139
88	0	0.13812901836156607	0	0.06756823235475919	0	0.1563708633184433
90	1	0.6153522876876723	1	0.8807503156329426	1	0.8637892603874207
91	0	0.16934778612464724	0	0.06642819414344892	0	0.11211244016885757
94	0	0.0029939487410173674	0	0.015743298841580305	0	0.007637827657163143
95	0	0.08196298000827634	0	0.04281041437998328	0	0.053211748600006104
96	0	0.0013232463310028498	0	0.010501390026227311	0	0.005640549585223198
97	0	0.11519160901903278	0	0.0318922878956515	0	0.033146265894174576
98	0	0.005140658007310667	0	0.03234206079088029	0	0.009213434532284737
100	0	0.06550044982191287	0	0.03382128280080303	0	0.06620869040489197
101	1	0.429918094656398	1	0.29134340042726914	1	0.5141662955284119
102	0	0.15502504305055556	0	0.08020488252847302	0	0.15153849124908447
103	0	0.03565970830702221	0	0.024452532426165543	0	0.04159073159098625
104	0	0.07044403023572225	0	0.04384624102293157	0	0.04248686507344246
105	0	0.04478279051512639	0	0.02752571140401519	0	0.038747578859329224
106	0	0.025934351503695354	0	0.03888699262850576	0	0.01659552752971649
107	0	0.05907677584225943	0	0.039339900376664974	0	0.07468217611312866
110	0	0.016398072950920734	0	0.039993598903366505	0	0.02290932834148407
112	0	0.06664371978261498	0	0.06895967924628252	0	0.026690008118748665
113	1	0.3463468919254939	1	0.25619033748809805	0	0.2595095634460449
116	0	0.009789534799604352	0	0.013159701943205005	0	0.013661408796906471
117	0	0.0072109901252821774	0	0.03190891615632956	0	0.008926456794142723
118	0	0.05122837979046383	0	0.0643397775364039	0	0.05365808680653572
119	0	0.008249869355091278	0	0.03643029868388502	0	0.012114884331822395
120	1	0.6818578240361179	1	0.7242648077363828	1	0.7289996147155762
121	0	0.1296012575684005	0	0.056217822073012506	0	0.08093128353357315
124	0	0.1575639682516471	0	0.09104987519855932	0	0.12069088220596313
125	0	0.10964514000773681	0	0.08160654555707196	0	0.09297937899827957
126	0	0.05613933861072254	0	0.03616688397073702	0	0.05045251548290253
128	0	0.05850895959562456	0	0.02814175539616823	0	0.0340983048081398
129	0	0.034141457157905175	0	0.020631176782989896	0	0.03444371372461319
131	0	0.0417485559945378	0	0.037612569464898486	0	0.05031067878007889
132	0	0.011515776239781573	0	0.015700178991522463	0	0.02427152916789055
133	1	0.6948522642992813	1	0.8057410253852749	1	0.8253366947174072
134	0	0.13654227097987934	0	0.07340209221326931	0	0.04688300937414169
137	1	0.7732343979733645	1	0.9328097537007827	1	0.9649012088775635
138	0	0.0291102603665158	0	0.028104595384460192	0	0.04211282357573509
139	0	0.0025607650507604995	0	0.010401917962719475	0	0.002943414496257901
140	0	0.00158412940408364	0	0.009941275225700999	0	0.004998574033379555
141	0	0.22024756049713667	0	0.08514134183971499	0	0.14437437057495117
142	1	0.573592933514936	1	0.6089736059008658	1	0.8263295292854309
143	0	0.014407196021927932	0	0.03134405085872317	0	0.020968660712242126
144	0	0.13819479726404754	0	0.07904425595176598	0	0.05290396139025688
145	0	0.2514448941501441	0	0.14432493558675907	0	0.22160764038562775
147	1	0.7729636250754467	1	0.8584413600567558	1	0.8971027731895447
148	0	0.027005072054521382	0	0.016430740969591934	0	0.023425502702593803
150	0	0.0418910633778687	0	0.045266717682743596	0	0.02214019000530243
151	0	0.007900662335730144	0	0.009845563936204338	0	0.006112613249570131
152	0	0.05789268349204805	0	0.048702844700869656	0	0.04801955819129944
153	0	0.03987635835539965	0	0.051247838730144504	0	0.056232236325740814
154	0	0.026073073881424946	0	0.05575698269003846	0	0.017505602911114693
155	0	0.09344348377824147	0	0.07325873895048621	0	0.037192102521657944
158	0	0.07017207373624203	0	0.07987832239354294	0	0.1011938527226448
159	1	0.49164672190762354	1	0.6400959578158038	1	0.45588773488998413
160	0	0.015299301595213073	0	0.023122463387433862	0	0.016691895201802254
161	1	0.37780500377986104	1	0.4599867585592221	1	0.4627096652984619
162	0	0.04223079993663819	0	0.021520838715261396	0	0.07364007085561752
163	1	0.8342393255484523	1	0.8338473777235501	1	0.8665570020675659
164	0	0.1214757681296885	0	0.04895966094221488	0	0.08851416409015656
165	0	0.0032656764252670914	0	0.06314258506282981	0	0.008036794140934944
167	1	0.9810746679923169	1	0.9821902045619544	1	0.9929596781730652
169	0	0.051450252157482085	0	0.04827541791227517	0	0.02156960405409336
170	0	0.021519248268982275	0	0.05597489438923904	0	0.03849160671234131
171	0	0.09625465844466331	0	0.05022690087920945	0	0.11235388368368149
174	0	0.16459288331971997	0	0.10560234549397829	0	0.12082380056381226
175	1	0.4469030700639064	1	0.6838862589690523	1	0.5708916783332825
176	0	0.1274648080385444	0	0.11075758994683095	0	0.09495875984430313
177	0	0.015608949860508458	0	0.04083991222931889	0	0.0199552234262228
178	0	0.01656483329289166	0	0.025436362592441066	0	0.02347515895962715
179	0	0.16120173425441203	0	0.17312769590211363	0	0.1634296327829361
182	0	0.009002615159084359	0	0.01811771982429662	0	0.014670462347567081
183	0	0.197677671483508	0	0.08690943395879003	0	0.19134093821048737
184	1	0.31685112794080467	0	0.14829652864144222	0	0.24666868150234222
190	1	0.5946264703106358	1	0.782574789109512	1	0.8387710452079773
192	0	0.10516883544567934	0	0.038611103440864776	0	0.06751012057065964
193	0	0.19285740227803932	0	0.06033129926161652	0	0.1404682695865631
194	0	0.1688105635818721	0	0.10074886817645173	0	0.10950855165719986
195	0	0.11603867531840453	0	0.048663670603444946	0	0.07556010782718658
197	0	0.05948436408905383	0	0.04538858008411203	0	0.04900980368256569
198	0	0.049042087067194796	0	0.043091309576957504	0	0.04503093659877777
199	0	0.045760568291741785	0	0.03429986618963298	0	0.03092828206717968
200	0	0.07727385402192956	0	0.07653060990799762	0	0.05939583480358124
201	1	0.31072643577007725	0	0.20021837507653012	0	0.2553483247756958
202	0	0.009032231895363119	0	0.027334117102860118	0	0.018198607489466667
204	0	0.021804162350126145	0	0.03540497640466008	0	0.036828137934207916
205	1	0.29257011176890513	0	0.13049656926493453	1	0.31715553998947144
206	0	0.04754485688828096	0	0.02413946305825673	0	0.03008803352713585
207	0	0.16498429927917937	0	0.09151557852685915	0	0.1498538851737976
208	0	0.0027812050397667816	0	0.018083797976090468	0	0.0027749543078243732
211	0	0.02894855514160155	0	0.026032242713206945	0	0.01808750070631504
214	0	0.2253985450300008	0	0.20049111242856787	0	0.22082166373729706
215	0	0.11661399097736933	0	0.08702235163764536	0	0.07171672582626343
216	0	0.14645188269907772	0	0.0983237211970211	0	0.11541782319545746
217	0	0.024583334379653328	0	0.035104940179586944	0	0.04302382841706276
218	0	0.04527206226692148	0	0.0313079605622871	0	0.05229664593935013
221	0	0.05101575254544783	0	0.04380668624767024	0	0.05303408205509186
223	0	0.09617192105542374	0	0.06468940288785652	0	0.048553287982940674
224	0	0.06850321822804072	0	0.05045026785701027	0	0.05817844718694687
226	0	0.01238793857860614	0	0.011516175372064869	0	0.015158622525632381
227	0	0.10206223939763813	0	0.1117148050270631	0	0.09852885454893112
228	0	0.008797224805345042	0	0.027706612131451185	0	0.01280138548463583
230	0	0.033474118659433325	0	0.019402762092088188	0	0.0346812903881073
231	0	0.20131942175312653	0	0.1513028914954251	0	0.1837773621082306
233	1	0.3627402395881663	0	0.20613770472462573	0	0.24309185147285461
235	1	0.9436852126287514	1	0.9772488360725597	1	0.9736581444740295
238	1	0.3627417437701435	0	0.1513164246728315	1	0.37394827604293823
239	0	0.008873157019753329	0	0.02390696806175742	0	0.02114713191986084
240	0	0.12463120732336874	0	0.07285464245556585	0	0.10180753469467163
241	0	0.047708018776638314	0	0.034083145430986006	0	0.050961874425411224
242	0	0.054221650287111324	0	0.04369796617760955	0	0.04014716297388077
243	1	0.5740526632258987	1	0.6373462695477641	1	0.9014223217964172
244	0	0.028674249627544706	0	0.048083311112972774	0	0.030488857999444008
245	0	0.04376198372165293	0	0.040421049243481576	0	0.03527186065912247
246	0	0.1371897644784479	0	0.09500552076759146	0	0.09158418327569962
247	0	0.040027286100719726	0	0.04053895126713393	0	0.057821765542030334
248	1	0.6274380531832743	1	0.6453474482629878	1	0.7639986872673035
249	0	0.028482651131077945	0	0.026669030084575506	0	0.025596706196665764
250	0	0.001990927546695435	0	0.019057176141250798	0	0.004669758956879377
252	0	0.0037190476285171073	0	0.030311696365528572	0	0.012601764872670174
253	0	0.002655684123462953	0	0.0242618120533455	0	0.0043245237320661545
254	0	0.015459015707918123	0	0.017456664826878503	0	0.029585259035229683
256	0	0.02094905993968225	0	0.03336933716654871	0	0.018098564818501472
258	0	0.0077960427495848	0	0.01963175514524428	0	0.011761171743273735
259	0	0.0025900428237632324	0	0.024307462310443263	0	0.005002820864319801
260	0	0.03932356638066063	0	0.03755260238644676	0	0.03594761714339256
261	1	0.4235637497994674	1	0.7733706783462008	1	0.5277511477470398
262	0	0.007536008222595384	0	0.009622704511160238	0	0.01754586771130562
264	0	0.006346662911934121	0	0.02171145019543331	0	0.01285449881106615
267	1	0.3171857559493651	0	0.1698084478887877	1	0.3461487591266632
269	0	0.10863603960645879	0	0.043910008868907356	0	0.08874208480119705
270	0	0.0008652408619526649	0	0.008805170329902554	0	0.0019245424773544073
271	0	0.01747782265965426	0	0.017999272162383263	0	0.009339326992630959
273	0	0.05017993435845943	0	0.05757007452137607	0	0.03539836034178734
274	0	0.21043108793339216	0	0.13313554427158264	0	0.15725953876972198
275	0	0.008125485667001732	0	0.03448316987942134	0	0.009273084811866283
277	1	0.29775189824621123	0	0.23286571168102513	1	0.34392791986465454
281	0	0.1127804824677748	0	0.07460459577532338	0	0.1160014420747757
282	1	0.49123089172970785	1	0.3101608852793896	1	0.7574556469917297
283	0	0.13233205352164082	0	0.07151045374428058	0	0.1268293857574463
284	0	0.15187185241941567	0	0.07506736901292502	0	0.08587424457073212
286	0	0.26699914281473475	0	0.23497307965259215	0	0.23291818797588348
287	0	0.004270424368809852	0	0.012093552094453038	0	0.007003877777606249
288	0	0.004395204767172017	0	0.01994330188304507	0	0.007991887629032135
291	0	0.17987348801205122	0	0.082539416334154	0	0.162296861410141
292	0	0.007281197919544484	0	0.03797298502244705	0	0.0074629816226661205
293	0	0.04280464257641902	0	0.041544664047760846	0	0.026434630155563354
296	0	0.015311014370182136	0	0.02769341443560712	0	0.05101044103503227
297	1	0.5180833732550428	1	0.4704272894784556	1	0.7015771865844727
298	0	0.10091026826751841	0	0.06069823399514952	0	0.03113015741109848
299	1	0.59234927235195	1	0.49433199131549216	1	0.690025269985199
300	0	0.18206648015354238	0	0.08916761635940028	0	0.1291120946407318
302	0	0.025972942623538938	0	0.03795205285875537	0	0.02291116490960121
303	0	0.00361793934438528	0	0.014242493679203463	0	0.010053213685750961
304	0	0.04465810357870521	0	0.02464981445776136	0	0.0568888895213604
305	0	0.07320201103162391	0	0.0424138914422906	0	0.11411365866661072
306	0	0.11710383768497695	0	0.06264647215439195	0	0.10916555672883987
307	0	0.04120096771012352	0	0.043983197372642724	0	0.05196547135710716
308	0	0.003243514937055403	0	0.034393841340325845	0	0.008073003962635994
309	0	0.01946039758852839	0	0.0165778591668155	0	0.01299666240811348
311	0	0.20146328970799288	0	0.13918950194450347	0	0.17619246244430542
312	0	0.00708107817929786	0	0.04803970187286586	0	0.017223751172423363
314	0	0.1517174601800166	0	0.13013710428979822	0	0.10773143172264099
315	1	0.4191165208496445	1	0.31924854483441417	1	0.6061953902244568
316	0	0.061617525009710225	0	0.030683949735722686	0	0.03883123770356178
319	0	0.031956609535618796	0	0.051720440940990375	0	0.03585466742515564
321	0	0.23488450791423007	0	0.07019727742633325	0	0.18004414439201355
323	0	0.0016599442475163171	0	0.009587129823093019	0	0.0027607660740613937
325	1	0.492982085372659	1	0.6171478602880647	1	0.6035043597221375
327	0	0.019205959782018535	0	0.026890698892092182	0	0.019931377843022346
328	1	0.5082541228659649	1	0.5103256745171695	1	0.6032307147979736
329	0	0.11765775125110231	0	0.06785619636200228	0	0.11177704483270645
330	0	0.02114513499871825	0	0.027024598657075325	0	0.024511277675628662
331	1	0.6259311275467165	1	0.751849142699548	1	0.5551822185516357
332	0	0.03756070582976312	0	0.028424407398442573	0	0.032379765063524246
333	0	0.04406469167677585	0	0.03433522021537489	0	0.03139254078269005
334	0	0.05334760797391321	0	0.022289304087753366	0	0.046970561146736145
335	0	0.03236637892192716	0	0.032306298380219305	0	0.04084319621324539
336	0	0.002887059321534629	0	0.018738912493568124	0	0.0034431738313287497
337	0	0.02999885517375824	0	0.03143216311024964	0	0.03429095447063446
338	0	0.00959679250118937	0	0.016873356409699038	0	0.007491376716643572
339	0	0.008387582142091149	0	0.02646122907142893	0	0.008448334410786629
340	0	0.017186324725111883	0	0.019836747331864194	0	0.027863971889019012
341	0	0.013698620615334698	0	0.019245383938969	0	0.016163978725671768
342	0	0.18985303097538525	1	0.2733299349254285	0	0.12109151482582092
343	0	0.11621387316667325	0	0.09458313758249341	0	0.08971726894378662
346	0	0.09126153479067911	0	0.07150655060454301	0	0.06657323241233826
347	0	0.08079905504794171	0	0.027430805206283247	0	0.07096412777900696
349	0	0.007407992253234228	0	0.012572490022243202	0	0.010162421502172947
350	0	0.004939981712096044	0	0.03304008319036687	0	0.00990639440715313
351	0	0.07091324882820588	0	0.07646925730481048	0	0.0578654482960701
352	0	0.0019524994550034432	0	0.021195677222142786	0	0.010417954996228218
353	0	0.12320480537475699	0	0.07853023688921108	0	0.047356016933918
355	1	0.5380727654271518	1	0.7551360797485778	1	0.7697747349739075
359	1	0.3033437466848585	0	0.1788084272636839	0	0.1339743733406067
361	0	0.0023655739448210636	0	0.012270578711301034	0	0.004608741030097008
362	0	0.22375849616224275	0	0.06407675133323056	0	0.22224722802639008
363	0	0.25731370792101144	0	0.14549348976630344	0	0.11703706532716751
364	1	0.6223803426015904	1	0.8516723542953789	1	0.7988045811653137
366	0	0.042777180509702195	0	0.020950097249509147	0	0.0357113778591156
367	0	0.006403600244484598	0	0.03024040170165754	0	0.007404864765703678
369	0	0.003760824291529104	0	0.01996547725669025	0	0.00673444289714098
372	0	0.04048131988597884	0	0.05802574519209008	0	0.057081252336502075
373	0	0.003775957862957143	0	0.021664086030127774	0	0.0057542636059224606
374	0	0.06496242922094275	0	0.05681644268074746	0	0.07031267136335373
376	0	0.12477741789857319	0	0.11293336617914793	0	0.13697625696659088
377	0	0.00754162177647256	0	0.024216246138970814	0	0.012511719949543476
378	0	0.011224256464925248	0	0.015883714503429666	0	0.015859287232160568
379	0	0.23003056749018677	0	0.1936696989866035	0	0.18912965059280396
380	0	0.00710879605965659	0	0.015775524579252066	0	0.02269696816802025
381	0	0.015267125893877995	0	0.013087272883912962	0	0.007906663231551647
382	0	0.18535855012295585	0	0.07055461985156071	0	0.1012486070394516
384	0	0.007997629344702373	0	0.02892803266573704	0	0.010663934983313084
385	0	0.014558819580674558	0	0.013131444480092989	0	0.027025213465094566
386	0	0.0308016559683883	0	0.021223533821361114	0	0.06402873247861862
387	0	0.01120231932372085	0	0.02753580752023983	0	0.01604561135172844
388	0	0.10670100683129617	0	0.03249142833299288	0	0.045081429183483124
389	0	0.11640753799212601	0	0.04204133527814353	0	0.06219843029975891
390	1	0.40369816026003175	1	0.25547920277433744	1	0.3792575001716614
391	0	0.004468995406096191	0	0.01494160134421718	0	0.0067339264787733555
392	1	0.8398146665888685	1	0.9619895906942847	1	0.943071186542511
393	0	0.004383155135573592	0	0.011718474194923348	0	0.003959150984883308
394	1	0.40715853417992764	1	0.5713860696600772	1	0.6390591859817505
395	0	0.009149033146321567	0	0.021163165562332987	0	0.0103776715695858
396	1	0.30780800919087137	0	0.12450417661797678	0	0.2391037791967392
397	0	0.18631904682436234	0	0.06593424509719677	0	0.10110244154930115
399	0	0.10696140077835983	0	0.11032015695579374	0	0.065665103495121
401	1	0.3556480494168401	1	0.31783288049531294	1	0.5765476226806641
403	1	0.47793843036854555	1	0.2721448504522859	1	0.41531670093536377
404	0	0.11571181395544677	0	0.11021006959959145	0	0.09947814047336578
405	1	0.5755296639067079	1	0.7991204612123187	1	0.8727755546569824
406	0	0.05686798003202591	0	0.050162270982809176	0	0.08043189346790314
407	0	0.15581636178325453	0	0.056220124597956486	0	0.10455217957496643
408	0	0.004918346234498475	0	0.019120306721833135	0	0.00941556878387928
410	0	0.004885465483605714	0	0.014759886881203846	0	0.005031217820942402
411	1	0.6726782525443619	1	0.9411776735200905	1	0.8332852721214294
412	0	0.016610973380159013	0	0.02278543996025381	0	0.016168588772416115
416	0	0.06776085485579034	0	0.024927434071203246	0	0.037039864808321
417	0	0.00480977150091289	0	0.023026461285650248	0	0.008827440440654755
419	0	0.003672835453504732	0	0.010034404684946874	0	0.004957905504852533
420	0	0.009811375021119513	0	0.025196547523254963	0	0.009031130000948906
421	0	0.008741111363208943	0	0.02111218561655735	0	0.013108335435390472
422	0	0.013077029520864057	0	0.019979838242186646	0	0.018298042938113213
423	0	0.07457214445615654	0	0.05007698245269645	0	0.053845684975385666
424	1	0.4695426839571411	1	0.35608515122438517	1	0.5124421119689941
425	0	0.10934939464235582	0	0.1230024240332254	0	0.09883614629507065
426	0	0.13850240256797902	0	0.0732833508739201	0	0.08631977438926697
428	0	0.04216683461433216	0	0.041879932055223154	0	0.04313886538147926
429	0	0.17992803108793598	0	0.10109555289154551	0	0.17538003623485565
430	0	0.10518256694771502	0	0.06693784754050165	0	0.08759614825248718
431	0	0.1346247720082666	0	0.08928551701526007	0	0.06633580476045609
433	0	0.06389604351011835	0	0.032793535646274415	0	0.09617997705936432
434	1	0.35638438099818914	1	0.4753965366277018	1	0.45780837535858154
436	1	0.4746454678974804	1	0.25131079588392263	1	0.4236316680908203
437	0	0.17238140316682318	0	0.1359309869913112	0	0.10676507651805878
438	0	0.026930044409488926	0	0.02070718939701495	0	0.03143443539738655
439	0	0.033222634061553	0	0.011934165977927486	0	0.028354523703455925
440	1	0.8069191446440074	1	0.840977599720348	1	0.7803797721862793
441	0	0.0015232671218254864	0	0.025913157286312494	0	0.008559726178646088
442	0	0.025783226355531378	0	0.07954025796912154	0	0.02115771546959877
444	0	0.02447947946618377	0	0.047060096800782936	0	0.02487945929169655
445	1	0.5026370191041851	1	0.2646936246949569	1	0.5651899576187134
446	1	0.3003835622734479	0	0.0698782821660298	0	0.17283843457698822
447	0	0.002186159324613411	0	0.00888973746138261	0	0.004376560915261507
448	0	0.026869866055768236	0	0.03364086848371478	0	0.023964164778590202
449	0	0.05116679653009486	0	0.0477831987384864	0	0.058605216443538666
450	0	0.026780636394370283	0	0.015080372131849035	0	0.02712009660899639
451	0	0.11862707063080219	0	0.08896153843231935	0	0.03296913579106331
452	0	0.013295081848148019	0	0.017794523311307285	0	0.02386096492409706
453	1	0.2815423636572404	0	0.05918300538596202	0	0.19403831660747528
454	1	0.9311725360008818	1	0.9369361231298172	1	0.9233110547065735
455	0	0.148106316150739	0	0.07279762013160247	0	0.08518612384796143
456	0	0.024219607260565195	0	0.02352547009979856	0	0.017200132831931114
458	0	0.0108229420051689	0	0.01967874032955388	0	0.011382638476788998
460	0	0.005247135555710312	0	0.011775221990166533	0	0.006628039292991161
461	0	0.014354017241542715	0	0.0404270414413028	0	0.016542211174964905
462	0	0.1252164439509921	0	0.12675442694697564	0	0.08941860496997833
463	0	0.17607929214326254	0	0.15093636382111045	0	0.1390184462070465
464	0	0.028347817014396162	0	0.055620975384840475	0	0.025121426209807396
465	0	0.02034414406128333	0	0.020364409692493632	0	0.016720721498131752
466	0	0.15137004839522422	0	0.18325636638483767	0	0.08176728338003159
467	1	0.2744328703964866	0	0.22435667761808306	1	0.40300989151000977
468	0	0.024888609834842885	0	0.017860249504694857	0	0.016090692952275276
469	0	0.006426027172414062	0	0.012672067152708496	0	0.0053413002751767635
470	1	0.3232301729829562	0	0.2324408120203679	1	0.27143594622612
471	0	0.008066295298111242	0	0.02250730686367684	0	0.010182462632656097
473	0	0.1490725716894151	0	0.1278189700230796	0	0.0951937735080719
474	0	0.07601322883033446	0	0.03057669555703645	0	0.11963607370853424
475	1	0.3055035628191604	1	0.2892878331604227	0	0.25166404247283936
476	0	0.004908621539686928	0	0.01721963784312164	0	0.0065627070143818855
477	0	0.03202795536119333	0	0.01885011051760996	0	0.020227862522006035
478	1	0.9428596284720183	1	0.9774098106826967	1	0.9374353289604187
479	0	0.007613256811891584	0	0.008268471192341798	0	0.004471656400710344
481	0	0.17594884512775488	0	0.14435498087197854	0	0.11721651256084442
482	0	0.0037826030318537265	0	0.01721789702223986	0	0.01404257770627737
483	0	0.06053002235518519	0	0.03403740664729607	0	0.04198422282934189
484	0	0.21469259700012386	0	0.07940457872775644	0	0.16747888922691345
485	1	0.8426450881482027	1	0.946070987345271	1	0.9731460809707642
486	0	0.02796399309320575	0	0.02592922803124458	0	0.03220083937048912
487	0	0.012995733005657087	0	0.01722027921662335	0	0.012939997017383575
488	0	0.21470023637189414	0	0.0757943203398861	0	0.20982086658477783
491	0	0.05638129466139598	0	0.06084768991183326	0	0.03248068690299988
492	1	0.5352052931021234	1	0.6257171730960974	1	0.8317393064498901
493	1	0.2846471397650991	0	0.2237774277540424	0	0.23005671799182892
494	1	0.4291094611878414	1	0.5828406377134346	1	0.6494688987731934
495	0	0.0618225180931975	0	0.033220785901533406	0	0.05709622800350189
496	0	0.03668739471688212	0	0.022959462228461985	0	0.02024894207715988
497	0	0.006792355758651428	0	0.016390859739394848	0	0.006761153694242239
498	0	0.034046016859479396	0	0.03460105650412793	0	0.017906976863741875
499	0	0.11270042266459634	0	0.05270148090341558	0	0.04332495853304863
500	0	0.004558164393114756	0	0.012063681993703472	0	0.0060081505216658115
501	0	0.008630441106865335	0	0.014693368503160923	0	0.00861925445497036
502	1	0.46044068569351476	0	0.21984828989885155	1	0.7465169429779053
505	0	0.011363490321689037	0	0.019215493792949123	0	0.02040167711675167
507	0	0.08701150937201751	0	0.08298915000158628	0	0.049658454954624176
508	1	0.36555754935240725	1	0.31200015665397324	0	0.20710930228233337
510	1	0.3696929992708908	0	0.14076729297588614	1	0.4367330074310303
511	0	0.07705204159578082	0	0.08206112501055011	0	0.0997174084186554
513	0	0.08121787666651163	0	0.06777020347314845	0	0.0521446131169796
514	1	0.9309206283129112	1	0.9443913358219684	1	0.9658979177474976
515	0	0.023480592327571537	0	0.040924169279329965	0	0.017530716955661774
516	0	0.010367477502320253	0	0.010791516469574628	0	0.0157068632543087
517	0	0.017781857723474577	0	0.020075664456886477	0	0.0126394247636199
518	0	0.1621518120777413	0	0.19943166712384677	0	0.1309351623058319
520	0	0.0028112670430477833	0	0.01773732533713505	0	0.009132098406553268
521	0	0.015295354977061668	0	0.01623884685183811	0	0.0088002635166049
522	0	0.01908342169297351	0	0.02139867879777871	0	0.04207552224397659
523	0	0.013040411952663181	0	0.013784947708629255	0	0.01204815972596407
